id,rle_mask
001ef8fc87,1 7263 7273 83 7374 76 7475 71 7576 65 7677 59 7778 50 7879 37 7980 33 8092 16
002124aa19,2525 1 2618 9 2712 16 2808 21 2904 26 3000 31 3086 46 3174 59 3261 73 3349 6853
002af5d1e8,7879 5 7980 12 8081 20 8182 25 8283 31 8384 36 8485 42 8586 48 8687 54 8788 60 8889 87 8990 93 9091 1111
0041cb8c49,1 1008 1011 97 1112 96 1213 95 1314 93 1415 92 1516 91 1617 90 1718 89 1819 88 1920 86 2021 84 2122 82 2223 79 2324 78 2425 76 2526 74 2627 73 2728 71 2829 70 2930 69 3031 68 3132 67 3233 66 3334 65 3435 64 3536 62 3637 61 3738 60 3839 58 3940 57 4041 56 4142 55 4243 53 4344 52 4445 50 4546 48 4647 46 4748 43 4849 39 4950 37 5051 35 5152 33 5253 31 5354 29 5455 29 5556 28 5657 28 5758 28 5859 28 5960 28 6061 28 6162 27 6263 27 6364 27 6465 27 6566 27 6667 27 6768 26 6869 26 6970 26 7071 26 7172 26 7273 26 7374 26 7475 26 7576 26 7677 25 7778 25 7879 25 7980 25 8081 25 8182 25 8283 24 8384 24 8485 24 8586 24 8687 24 8788 23 8889 23 8990 23 9091 22 9192 22 9293 22 9394 22 9495 22 9596 21 9697 21 9798 21 9899 21 10000 21 10101 20
0043a01a19,5352 2 5450 5 5549 7 5641 1 5644 13 5734 24 5826 33 5921 39 6015 46 6114 48 6214 49 6314 50 6396 1 6398 2 6402 10 6414 51 6487 79 6585 82 6680 88 6777 92 6875 95 6973 98 7073 3129
005b02dd7c,4844 5 4937 13 5031 20 5126 26 5223 30 5319 35 5417 38 5514 42 5612 45 5709 49 5807 52 5905 55 6004 57 6102 60 6201 62 6299 65 6396 69 6494 72 6593 74 6691 77 6790 79 6888 82 6982 89 7076 3126
0066451ce3,1 806 809 98 910 98 1011 97 1112 97 1213 97 1314 97 1415 98 1516 98 1617 98 1718 97 1819 97 1920 96 2021 94 2122 93 2223 91 2324 89 2425 87 2526 86 2627 85 2728 84 2829 83 2930 82 3031 82 3132 81 3233 80 3334 78 3435 76 3536 74 3637 73 3738 72 3839 71 3940 70 4041 70 4142 69 4243 70 4344 70 4445 70 4546 71 4647 71 4748 72 4849 72 4950 73 5051 73 5152 74 5253 74 5354 73 5455 72 5556 71 5657 68 5758 64 5859 61 5960 60 6061 58 6162 57 6263 55 6364 54 6465 52 6566 49 6667 46 6768 43 6869 40 6970 37 7071 33 7172 28 7273 16 7374 14 7475 12 7576 11 7677 11 7778 11 7879 11 7980 11 8081 12 8182 12 8283 12 8384 13 8485 13 8586 13 8687 13 8788 13 8889 14 8990 14 9091 15 9192 15 9293 16 9394 17 9495 18 9596 18 9697 19 9798 19 9899 20 10000 20 10101 20
00707c7864,2618 9 2713 15 2805 24 2902 28 2999 32 3096 36 3189 44 3282 52 3368 67 3466 70 3563 74 3656 82 3753 86 3852 88 3951 90 4051 91 4151 92 4252 92 4353 92 4455 91 4556 91 4658 90 4761 88 4865 85 4969 82 5072 80 5173 80 5276 78 5379 76 5485 71 5589 68 5692 66 5794 65 5896 64 5998 63 6100 62 6202 61 6305 59 6407 58 6509 57 6611 56 6713 55 6815 54 6917 53 7018 53 7120 52 7222 51 7324 50 7426 49 7528 48 7630 47 7732 46 7833 46 7934 46 8034 47 8135 47 8236 47 8337 47 8439 46 8540 46 8641 46 8742 46 8843 46 8943 47 9043 48 9144 48 9245 48 9346 48 9446 49 9547 49 9647 50 9747 51 9847 52 9946 54 10046 55 10146 56
007c7c7dcf,4546 2 4647 3 4748 4 4779 11 4849 4 4880 15 4950 4 4980 19 5051 5 5081 23 5152 5 5181 27 5253 5 5282 32 5354 5 5382 35 5455 5 5482 38 5556 6 5583 41 5657 6 5684 45 5758 7 5784 51 5859 7 5883 56 5960 8 5982 61 6061 9 6081 66 6162 10 6179 71 6263 11 6278 76 6364 93 6465 96 6566 99 6667 3535
00801127b0,1 50 102 50 203 50 304 50 405 50 506 50 607 51 708 51 809 51 910 51 1011 51 1112 51 1213 51 1314 51 1415 51 1516 51 1617 51 1718 51 1819 50 1920 50 2021 50 2122 49 2223 49 2324 49 2425 48 2526 47 2627 47 2728 46 2829 45 2930 43 3031 42 3132 39 3233 38 3334 36 3435 33 3536 31 3637 29 3738 26 3839 22 3940 20 4041 17 4142 13 4243 8 4344 3
0092c53387,1 63 102 62 203 61 304 60 405 59 506 57 607 56 708 55 809 54 910 53 1011 52 1112 51 1213 50 1314 49 1415 48 1516 47 1617 46 1718 45 1819 44 1920 42 2021 41 2122 40 2223 38 2324 37 2425 36 2526 34 2627 33 2728 32 2829 31 2930 29 3031 28 3132 27 3233 25 3334 22 3435 18 3536 16 3637 14 3738 13 3839 12 3940 11 4041 11 4142 10 4243 9 4344 8 4445 8 4546 7 4647 6 4748 6 4849 5 4950 5 5051 5 5152 4 5253 4 5354 4 5455 4 5556 4 5657 4 5758 4 5859 4 5960 4 6061 4 6162 4 6263 4 6364 4 6465 4 6566 4 6667 4 6768 4 6869 4 6970 4 7071 4 7172 4 7273 4 7374 4 7475 4 7576 4 7677 4 7778 4 7879 4 7980 5 8081 5 8182 5 8283 5 8384 5 8485 5 8586 5 8687 5 8788 5 8889 4 8990 4 9091 4 9192 4 9293 4 9394 3 9495 3 9596 2 9697 1
